match_no,stage,group_or_round,match_label,team1,team2,pdf_filename,pdf_url,local_pdf_path,match_end_minute_est,players_parsed
27,Group stage,Group B,CAN Canada 6 - 0 Qatar QAT,Canada,Qatar,PMSR-M27-CAN-V-QAT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M27-CAN-V-QAT.pdf,D:\fifa_2026_match_report_pdfs\M27 - CAN Canada 6 - 0 Qatar QAT.pdf,90,52
28,Group stage,Group A,MEX Mexico 1 - 0 Korea Republic KOR,Mexico,Korea Republic,PMSR-M28-MEX-V-KOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf,D:\fifa_2026_match_report_pdfs\M28 - MEX Mexico 1 - 0 Korea Republic KOR.pdf,90,51
29,Group stage,Group C,BRA Brazil 3 - 0 Haiti HAI,Brazil,Haiti,PMSR-M29-BRA-V-HAI.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M29-BRA-V-HAI.pdf,D:\fifa_2026_match_report_pdfs\M29 - BRA Brazil 3 - 0 Haiti HAI.pdf,90,52
30,Group stage,Group C,SCO Scotland 0 - 1 Morocco MAR,Scotland,Morocco,PMSR-M30-SCO-V-MAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M30-SCO-V-MAR.pdf,D:\fifa_2026_match_report_pdfs\M30 - SCO Scotland 0 - 1 Morocco MAR.pdf,90,52
31,Group stage,Group D,TUR Türkiye 0 - 1 Paraguay PAR,Türkiye,Paraguay,PMSR-M31-TUR-V-PAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M31-TUR-V-PAR.pdf,D:\fifa_2026_match_report_pdfs\M31 - TUR Trkiye 0 - 1 Paraguay PAR.pdf,90,52
32,Group stage,Group D,USA USA 2 - 0 Australia AUS,USA,Australia,PMSR-M32-USA-V-AUS.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M32-USA-V-AUS.pdf,D:\fifa_2026_match_report_pdfs\M32 - USA USA 2 - 0 Australia AUS.pdf,93,52
33,Group stage,Group E,GER Germany 2 - 1 Côte d'Ivoire CIV,Germany,Côte d'Ivoire,PMSR-M33-GER-V-CIV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M33-GER-V-CIV.pdf,D:\fifa_2026_match_report_pdfs\M33 - GER Germany 2 - 1 Cte dIvoire CIV.pdf,90,52
34,Group stage,Group E,ECU Ecuador 0 - 0 Curaçao CUW,Ecuador,Curaçao,PMSR-M34-ECU-V-CUW.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M34-ECU-V-CUW.pdf,D:\fifa_2026_match_report_pdfs\M34 - ECU Ecuador 0 - 0 Curaao CUW.pdf,91,52
35,Group stage,Group F,NED Netherlands 5 - 1 Sweden SWE,Netherlands,Sweden,PMSR-M35-NED-V-SWE.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M35-NED-V-SWE.pdf,D:\fifa_2026_match_report_pdfs\M35 - NED Netherlands 5 - 1 Sweden SWE.pdf,90,52
36,Group stage,Group F,TUN Tunisia 0 - 4 Japan JPN,Tunisia,Japan,PMSR-M36-TUN-V-JPN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M36-TUN-V-JPN.pdf,D:\fifa_2026_match_report_pdfs\M36 - TUN Tunisia 0 - 4 Japan JPN.pdf,90,52
