match_no,team,gk_total_involvements,gk_line_breaks,gk_distribution_page_no,gk_distribution_values_json,gk_attempts_on_goal_faced,gk_save_pct,gk_attempts_faced_table,gk_total_goal_interventions,gk_save_retain,gk_deflect_retain,gk_save_deflect,gk_save_attempt,gk_no_save_attempt,gk_goal_prevention_page_no
46,Croatia,42.0,13.0,33,"[""13"", ""24"", ""1"", ""5""]",9.0,100.0,9.0,3.0,0.0,1.0,2.0,0.0,6.0,35
47,Portugal,29.0,5.0,32,"[""5"", ""14"", ""1"", ""3""]",7.0,100.0,7.0,1.0,1.0,1.0,0.0,1.0,4.0,34
47,Uzbekistan,46.0,13.0,33,"[""13"", ""22"", ""2"", ""1""]",18.0,50.0,18.0,5.0,0.0,0.0,5.0,7.0,6.0,35
48,Colombia,44.0,8.0,33,"[""8"", ""31"", ""0"", ""3""]",8.0,100.0,8.0,2.0,1.0,0.0,1.0,1.0,5.0,35
48,Congo DR,58.0,13.0,34,"[""13"", ""28"", ""0"", ""6""]",20.0,89.0,20.0,8.0,1.0,0.0,7.0,1.0,11.0,36
49,Scotland,68.0,21.0,33,"[""21"", ""35"", ""0"", ""7""]",21.0,62.0,21.0,4.0,1.0,1.0,3.0,3.0,13.0,35
49,Brazil,39.0,5.0,34,"[""5"", ""18"", ""0"", ""5""]",14.0,100.0,14.0,5.0,3.0,0.0,2.0,1.0,8.0,36
50,Morocco,34.0,6.0,33,"[""6"", ""19"", ""1"", ""2""]",10.0,50.0,10.0,2.0,1.0,0.0,1.0,1.0,7.0,35
50,Haiti,64.0,20.0,34,"[""20"", ""33"", ""2"", ""3""]",24.0,64.0,24.0,9.0,3.0,0.0,6.0,4.0,11.0,36
51,Switzerland,69.0,9.0,32,"[""9"", ""46"", ""0"", ""6""]",13.0,86.0,13.0,5.0,3.0,1.0,2.0,0.0,7.0,34
51,Canada,32.0,12.0,33,"[""12"", ""18"", ""3"", ""2""]",6.0,50.0,6.0,3.0,1.0,0.0,2.0,1.0,2.0,35
52,Bosnia and Herzegovina,60.0,13.0,32,"[""13"", ""38"", ""3"", ""4""]",9.0,67.0,9.0,2.0,1.0,0.0,1.0,3.0,4.0,34
52,Qatar,44.0,16.0,33,"[""16"", ""25"", ""0"", ""2""]",16.0,60.0,16.0,6.0,0.0,0.0,6.0,3.0,7.0,35
53,Czechia,53.0,14.0,32,"[""14"", ""32"", ""0"", ""6""]",12.0,40.0,12.0,3.0,1.0,0.0,2.0,3.0,6.0,34
53,Mexico,49.0,17.0,33,"[""17"", ""34"", ""0"", ""1""]",13.0,100.0,13.0,0.0,0.0,1.0,0.0,1.0,11.0,35
54,South Africa,48.0,26.0,32,"[""26"", ""35"", ""2"", ""2""]",8.0,100.0,8.0,2.0,1.0,1.0,0.0,0.0,6.0,34
54,Korea Republic,55.0,7.0,33,"[""7"", ""36"", ""0"", ""4""]",13.0,75.0,13.0,3.0,2.0,0.0,1.0,3.0,7.0,35
55,Curaçao,25.0,9.0,32,"[""9"", ""17"", ""0"", ""1""]",7.0,33.0,7.0,1.0,0.0,0.0,1.0,1.0,5.0,34
55,Côte d'Ivoire,46.0,15.0,33,"[""15"", ""27"", ""1"", ""1""]",12.0,100.0,12.0,3.0,0.0,0.0,3.0,1.0,8.0,35
56,Ecuador,37.0,15.0,32,"[""15"", ""20"", ""2"", ""1""]",11.0,67.0,11.0,2.0,2.0,0.0,0.0,2.0,7.0,34
56,Germany,60.0,14.0,33,"[""14"", ""34"", ""0"", ""9""]",7.0,33.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,35
57,Japan,43.0,15.0,32,"[""15"", ""23"", ""2"", ""1""]",11.0,80.0,11.0,5.0,1.0,0.0,4.0,1.0,5.0,34
57,Sweden,58.0,25.0,33,"[""25"", ""35"", ""0"", ""8""]",8.0,67.0,8.0,2.0,1.0,0.0,1.0,2.0,4.0,35
58,Tunisia,54.0,17.0,33,"[""17"", ""20"", ""4"", ""1""]",21.0,67.0,21.0,4.0,2.0,0.0,2.0,1.0,16.0,35
58,Netherlands,35.0,0.0,34,"[""0"", ""18"", ""0"", ""5""]",10.0,75.0,10.0,3.0,2.0,0.0,1.0,1.0,6.0,36
59,Türkiye,64.0,17.0,33,"[""17"", ""41"", ""0"", ""2""]",18.0,71.0,18.0,5.0,1.0,0.0,4.0,3.0,10.0,35
59,USA,48.0,11.0,34,"[""11"", ""25"", ""0"", ""8""]",9.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,6.0,36
60,Paraguay,32.0,9.0,32,"[""9"", ""16"", ""0"", ""2""]",12.0,100.0,12.0,5.0,3.0,1.0,2.0,1.0,5.0,34
60,Australia,35.0,9.0,33,"[""9"", ""23"", ""0"", ""4""]",7.0,100.0,7.0,2.0,1.0,1.0,0.0,0.0,5.0,35
61,Norway,53.0,17.0,33,"[""17"", ""25"", ""0"", ""5""]",18.0,56.0,18.0,5.0,2.0,0.0,3.0,6.0,7.0,35
61,France,36.0,7.0,34,"[""7"", ""21"", ""0"", ""4""]",10.0,75.0,10.0,3.0,1.0,0.0,2.0,1.0,6.0,36
62,Senegal,36.0,5.0,33,"[""5"", ""20"", ""2"", ""3""]",6.0,100.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,35
62,Iraq,74.0,24.0,34,"[""24"", ""34"", ""2"", ""3""]",29.0,64.0,29.0,7.0,3.0,0.0,4.0,6.0,16.0,36
63,Egypt,43.0,4.0,32,"[""4"", ""26"", ""0"", ""1""]",13.0,67.0,13.0,2.0,0.0,0.0,2.0,2.0,9.0,34
63,IR Iran,54.0,19.0,33,"[""19"", ""27"", ""3"", ""3""]",15.0,67.0,15.0,3.0,3.0,0.0,0.0,1.0,11.0,35
64,New Zealand,72.0,11.0,34,"[""11"", ""26"", ""1"", ""5""]",35.0,50.0,35.0,4.0,0.0,1.0,4.0,9.0,21.0,36
64,Belgium,48.0,15.0,35,"[""15"", ""30"", ""0"", ""7""]",6.0,50.0,6.0,1.0,0.0,0.0,1.0,1.0,4.0,37
65,Cabo Verde,51.0,23.0,32,"[""23"", ""33"", ""1"", ""7""]",7.0,100.0,7.0,2.0,1.0,1.0,1.0,0.0,4.0,34
65,Saudi Arabia,44.0,6.0,33,"[""6"", ""23"", ""1"", ""2""]",15.0,100.0,15.0,3.0,1.0,0.0,2.0,1.0,11.0,35
66,Uruguay,46.0,22.0,32,"[""22"", ""27"", ""2"", ""2""]",7.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,34
66,Spain,64.0,13.0,33,"[""13"", ""37"", ""1"", ""12""]",7.0,100.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,35
67,Panama,65.0,24.0,32,"[""24"", ""33"", ""0"", ""9""]",17.0,67.0,17.0,5.0,1.0,1.0,4.0,4.0,7.0,34
67,England,46.0,12.0,33,"[""12"", ""29"", ""0"", ""1""]",13.0,100.0,13.0,2.0,1.0,0.0,1.0,1.0,10.0,35
68,Croatia,36.0,8.0,32,"[""8"", ""23"", ""0"", ""4""]",6.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,34
68,Ghana,36.0,3.0,33,"[""3"", ""14"", ""1"", ""7""]",8.0,50.0,8.0,2.0,1.0,0.0,1.0,3.0,3.0,35
69,Algeria,38.0,8.0,32,"[""8"", ""23"", ""0"", ""2""]",10.0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,7.0,34
69,Austria,36.0,5.0,33,"[""5"", ""24"", ""0"", ""0""]",12.0,40.0,12.0,1.0,1.0,1.0,0.0,5.0,5.0,35
70,Jordan,34.0,5.0,32,"[""5"", ""13"", ""1"", ""3""]",13.0,25.0,13.0,1.0,0.0,0.0,1.0,3.0,9.0,34
70,Argentina,26.0,3.0,33,"[""3"", ""14"", ""1"", ""4""]",5.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,35
71,Colombia,53.0,10.0,33,"[""10"", ""37"", ""1"", ""1""]",13.0,100.0,13.0,2.0,1.0,0.0,1.0,3.0,8.0,35
71,Portugal,54.0,6.0,34,"[""6"", ""19"", ""0"", ""4""]",26.0,100.0,26.0,6.0,2.0,0.0,4.0,1.0,19.0,36
72,Congo DR,41.0,8.0,33,"[""8"", ""33"", ""1"", ""1""]",4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,35
72,Uzbekistan,54.0,16.0,34,"[""16"", ""26"", ""2"", ""3""]",19.0,25.0,19.0,1.0,0.0,0.0,1.0,4.0,14.0,36
73,South Africa,98.0,16.0,32,"[""16"", ""83"", ""2"", ""1""]",12.0,83.0,12.0,5.0,2.0,0.0,3.0,3.0,4.0,34
73,Canada,40.0,8.0,33,"[""8"", ""23"", ""0"", ""8""]",6.0,100.0,6.0,2.0,1.0,0.0,1.0,0.0,4.0,35
74,Germany,46.0,7.0,33,"[""7"", ""27"", ""0"", ""10""]",7.0,67.0,7.0,4.0,2.0,0.0,2.0,0.0,3.0,35
75,Netherlands,46.0,19.0,32,"[""19"", ""30"", ""1"", ""2""]",12.0,80.0,12.0,5.0,1.0,0.0,4.0,2.0,5.0,34
76,Brazil,31.0,8.0,33,"[""8"", ""20"", ""0"", ""5""]",5.0,50.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,35
76,Japan,64.0,20.0,34,"[""20"", ""28"", ""1"", ""8""]",19.0,67.0,19.0,6.0,2.0,0.0,4.0,2.0,11.0,36
77,France,41.0,12.0,33,"[""12"", ""24"", ""0"", ""7""]",7.0,100.0,7.0,4.0,2.0,0.0,2.0,0.0,3.0,35
77,Sweden,59.0,18.0,34,"[""18"", ""23"", ""1"", ""6""]",26.0,75.0,26.0,10.0,4.0,0.0,6.0,7.0,9.0,36
78,Côte d'Ivoire,27.0,9.0,32,"[""9"", ""13"", ""0"", ""4""]",10.0,33.0,10.0,2.0,2.0,0.0,0.0,4.0,4.0,34
78,Norway,55.0,18.0,33,"[""18"", ""29"", ""0"", ""5""]",14.0,80.0,14.0,4.0,1.0,1.0,2.0,3.0,7.0,35
79,Mexico,48.0,21.0,32,"[""21"", ""34"", ""1"", ""3""]",7.0,100.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,34
79,Ecuador,40.0,14.0,33,"[""14"", ""23"", ""1"", ""0""]",15.0,33.0,15.0,1.0,0.0,0.0,1.0,6.0,8.0,35
80,England,38.0,9.0,32,"[""9"", ""26"", ""0"", ""5""]",7.0,50.0,7.0,2.0,1.0,0.0,1.0,3.0,2.0,34
80,Congo DR,65.0,14.0,33,"[""14"", ""36"", ""0"", ""4""]",17.0,67.0,17.0,6.0,0.0,0.0,6.0,0.0,11.0,35
81,USA,34.0,8.0,32,"[""8"", ""12"", ""2"", ""5""]",11.0,100.0,11.0,4.0,2.0,0.0,2.0,2.0,5.0,34
81,Bosnia and Herzegovina,49.0,10.0,33,"[""10"", ""32"", ""0"", ""3""]",8.0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,5.0,35
82,Belgium,65.0,11.0,34,"[""11"", ""34"", ""1"", ""7""]",20.0,60.0,20.0,4.0,4.0,0.0,0.0,3.0,13.0,36
82,Senegal,88.0,35.0,35,"[""35"", ""46"", ""3"", ""8""]",20.0,40.0,20.0,3.0,2.0,1.0,1.0,4.0,12.0,37
